GeneID,ctr1,ctr2,ctr3,ctr4,ctr5,ctr6,ctr7,ctr8,ctr9,ctr10,shock1,shock2,shock3,shock4,shock5,shock6,shock7,shock8,shock9,shock10,sepsis1,sepsis2,sepsis3,sepsis4,sepsis5,sepsis6,sepsis7,sepsis8,sepsis9,sepsis10
ENSG00000000003,49,63,41,38,37,31,32,31,51,24,28,36,24,46,30,28,24,29,29,30,28,30,29,33,26,24,24,24,24,25
ENSG00000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,2311,2760,2070,2496,2411,2497,2372,3859,2868,2225,4415,4834,3913,3963,4192,4359,4103,4633,4052,4824,5538,4487,4784,3299,2226,5059,4038,5354,3867,5698
ENSG00000000457,3694,4193,4188,3918,3748,3963,3880,3674,3899,3509,4381,4892,3205,4234,4398,3825,3591,3562,4499,4102,3930,3745,7255,4312,3481,4547,5112,4669,5208,4531
ENSG00000000460,760,688,654,756,661,901,607,714,722,717,609,626,1089,665,610,689,1013,819,823,778,677,587,660,570,492,659,488,620,429,622
ENSG00000000938,136577,132124,123410,139036,131341,136558,139450,154316,157760,158461,238037,235110,262969,352207,355639,175543,184966,228424,179534,195538,319094,304773,298689,232874,265634,385757,273756,344381,396422,393607
ENSG00000000971,334,297,362,412,455,530,599,627,387,361,365,319,260,425,165,483,351,289,277,465,274,323,562,615,199,245,701,387,236,171
ENSG00000001036,4182,3382,3783,4071,4592,3554,4798,4418,4128,4668,4831,4372,6138,3561,4349,4683,6770,5786,5236,5077,6333,5846,4957,4823,6278,4396,3626,7475,5329,5700
ENSG00000001084,3506,3155,3375,3688,3308,3451,3782,3122,3061,3106,2517,2232,1999,3432,2288,3295,4196,2109,2538,2475,3074,2306,2648,2330,2050,1920,1819,2682,1973,2246
ENSG00000001167,7027,7499,7283,6970,6603,8457,6880,5832,7232,6572,6996,6788,5866,5039,6433,6466,5455,4980,6934,5879,6240,5904,7303,7077,5978,6359,6604,4513,6898,5498
