GeneID,unknown
ENSG00000000003,36
ENSG00000000005,0
ENSG00000000419,4169
ENSG00000000457,3856
ENSG00000000460,670
ENSG00000000938,217807
ENSG00000000971,453
ENSG00000001036,5325
ENSG00000001084,4512
ENSG00000001167,5530
ENSG00000001460,477
ENSG00000001461,3404
ENSG00000001497,2782
ENSG00000001561,2133
ENSG00000001617,6
ENSG00000001626,0
ENSG00000001629,3141
ENSG00000001630,186
ENSG00000001631,1983
ENSG00000002016,1054
ENSG00000002330,5011
ENSG00000002549,9078
ENSG00000002586,44498
ENSG00000002587,143
ENSG00000002726,282
ENSG00000002745,54
ENSG00000002746,0
ENSG00000002822,4712
ENSG00000002834,125403
ENSG00000002919,14135
ENSG00000002933,7864
ENSG00000003056,19967
ENSG00000003096,35
ENSG00000003137,16
ENSG00000003147,562
ENSG00000003249,342
ENSG00000003393,1600
ENSG00000003400,11286
ENSG00000003402,190300
ENSG00000003436,115
ENSG00000003509,1664
ENSG00000003756,43756
ENSG00000003987,14
ENSG00000003989,0
ENSG00000004059,26615
ENSG00000004139,2575
ENSG00000004142,11512
ENSG00000004399,11497
ENSG00000004455,15729
ENSG00000004468,2893
ENSG00000004478,6995
ENSG00000004487,4275
ENSG00000004534,14529
ENSG00000004660,9909
ENSG00000004700,4744
ENSG00000004766,2088
ENSG00000004776,9
ENSG00000004777,905
ENSG00000004779,3465
ENSG00000004799,4430
ENSG00000004809,490
ENSG00000004838,408
ENSG00000004846,2
ENSG00000004848,0
ENSG00000004864,1307
ENSG00000004866,1106
ENSG00000004897,6509
ENSG00000004939,218718
ENSG00000004948,0
ENSG00000004961,3724
ENSG00000004975,3699
ENSG00000005001,22
ENSG00000005007,40572
ENSG00000005020,32076
ENSG00000005022,21273
ENSG00000005059,5680
ENSG00000005073,0
ENSG00000005075,9675
ENSG00000005100,1883
ENSG00000005102,181
ENSG00000005108,20
ENSG00000005156,3130
ENSG00000005175,4126
ENSG00000005187,690
ENSG00000005189,285
ENSG00000005194,3801
ENSG00000005206,5645
ENSG00000005238,25156
ENSG00000005243,193
ENSG00000005249,8011
ENSG00000005302,30955
ENSG00000005339,27163
ENSG00000005379,2339
ENSG00000005381,8112
ENSG00000005421,0
ENSG00000005436,1121
ENSG00000005448,890
ENSG00000005469,696
ENSG00000005471,158
ENSG00000005483,14031
ENSG00000005486,13052
ENSG00000005513,103
ENSG00000005700,3305
ENSG00000005801,1610
ENSG00000005810,7753
ENSG00000005812,12463
ENSG00000005844,57825
ENSG00000005882,5159
ENSG00000005884,348
ENSG00000005889,5620
ENSG00000005893,68703
ENSG00000005961,25577
ENSG00000005981,4
ENSG00000006007,22749
ENSG00000006015,7647
ENSG00000006016,221
ENSG00000006025,1882
ENSG00000006042,38
ENSG00000006047,4
ENSG00000006059,0
ENSG00000006062,6823
ENSG00000006071,0
ENSG00000006116,0
ENSG00000006118,70
ENSG00000006125,33414
ENSG00000006128,4
ENSG00000006194,4280
ENSG00000006210,0
ENSG00000006282,2688
ENSG00000006283,0
ENSG00000006327,1416
ENSG00000006377,0
ENSG00000006432,303
ENSG00000006451,4483
ENSG00000006453,136
ENSG00000006459,17032
ENSG00000006468,14
ENSG00000006530,1736
ENSG00000006534,19761
ENSG00000006555,1880
ENSG00000006576,2910
ENSG00000006606,2
ENSG00000006607,1209
ENSG00000006611,0
ENSG00000006625,704
ENSG00000006634,1214
ENSG00000006638,931
ENSG00000006652,15345
ENSG00000006659,2
ENSG00000006695,1195
ENSG00000006704,25
ENSG00000006712,11167
ENSG00000006715,9198
ENSG00000006740,31
ENSG00000006744,5249
ENSG00000006747,29
ENSG00000006756,5691
ENSG00000006757,580
ENSG00000006788,0
ENSG00000006831,11295
ENSG00000006837,55
ENSG00000007001,26
ENSG00000007038,309
ENSG00000007047,10513
ENSG00000007062,32
ENSG00000007080,10925
ENSG00000007129,4135
ENSG00000007168,25629
ENSG00000007171,6
ENSG00000007174,0
ENSG00000007202,19352
ENSG00000007216,0
ENSG00000007237,58226
ENSG00000007255,2831
ENSG00000007264,5909
ENSG00000007306,5
ENSG00000007312,9247
ENSG00000007314,43
ENSG00000007341,1130
ENSG00000007350,469
ENSG00000007372,4
ENSG00000007376,5192
ENSG00000007384,10
ENSG00000007392,4972
ENSG00000007402,696
ENSG00000007516,5262
ENSG00000007520,9418
ENSG00000007541,5076
ENSG00000007545,1922
ENSG00000007866,74
ENSG00000007908,0
ENSG00000007923,3857
